--- ATOX DEGRADATION & THERMAL RECESSION SIMULATION ---
Final Status,FAIL (Layer Eroded Away!)

--- SIMULATION PARAMETERS ---
Altitude [km],500
F10.7 Solar Index,150
Material Type,Kapton (3.0e-24)
Initial Thickness [mm],0.5
Initial Absorptivity,0.35
Emissivity,0.80

--- TELEMETRY DATA ---
Timeline [Years],Accumulated Fluence [atoms/cm2],Remaining Thickness [mm],Degraded Absorptivity,Equilibrium Temperature [C]
0.0,0.0,0.5,0.35,46.970348425545865
0.10101010101010101,6.402841443108072e+20,0.4807914756706758,0.40211638235543645,58.27419609011616
0.20202020202020202,1.2805682886216143e+21,0.46158295134135163,0.4361253159787526,65.06985117739492
0.30303030303030304,1.9208524329324218e+21,0.44237442701202734,0.4583180990139794,69.29278610867868
0.40404040404040403,2.5611365772432287e+21,0.42316590268270315,0.47280016494123867,71.9664612944311
0.5050505050505051,3.201420721554036e+21,0.40395737835337897,0.4822505449674201,73.678239635139
0.6060606060606061,3.8417048658648435e+21,0.3847488540240547,0.48841746086794385,74.78175300561145
0.7070707070707071,4.481989010175651e+21,0.3655403296947305,0.4924417277882975,75.49623642449035
0.8080808080808081,5.122273154486457e+21,0.3463318053654063,0.4950677931518412,75.96012001507182
0.9090909090909091,5.762557298797265e+21,0.3271232810360821,0.49678145167153953,76.26183653724684
1.0101010101010102,6.402841443108072e+21,0.3079147567067579,0.49789971230697616,76.45830326517245
1.1111111111111112,7.04312558741888e+21,0.2887062323774337,0.4986294416167498,76.58633071940142
1.2121212121212122,7.683409731729687e+21,0.26949770804810946,0.4991056319150292,76.66980023831832
1.3131313131313131,8.323693876040493e+21,0.2502891837187853,0.49941637344224815,76.72423669516064
1.4141414141414141,8.963978020351302e+21,0.231080659389461,0.4996191501411587,76.75974591490842
1.5151515151515151,9.604262164662107e+21,0.21187213506013686,0.49975147358691463,76.78291189314433
1.6161616161616161,1.0244546308972915e+22,0.19266361073081262,0.4998378222373798,76.79802654446007
1.7171717171717171,1.0884830453283722e+22,0.17345508640148838,0.49989416969262157,76.80788866690597
1.8181818181818181,1.152511459759453e+22,0.1542465620721642,0.4999309396443824,76.814323818854
1.9191919191919191,1.2165398741905337e+22,0.13503803774284,0.49995493415037556,76.81852293380535
2.0202020202020203,1.2805682886216144e+22,0.11582951341351573,0.4999705919440436,76.82126301605734
2.121212121212121,1.3445967030526952e+22,0.09662098908419153,0.4999808095539673,76.82305104244512
2.2222222222222223,1.408625117483776e+22,0.07741246475486734,0.499987477131454,76.82421781761036
2.323232323232323,1.4726535319148565e+22,0.05820394042554314,0.49999182810882287,76.8249791991459
2.4242424242424243,1.5366819463459374e+22,0.03899541609621887,0.49999466737152387,76.82547604166052
2.525252525252525,1.600710360777018e+22,0.019786891766894743,0.49999652015355467,76.82580025880452
2.6262626262626263,1.6647387752080987e+22,0.0005783674375704762,0.4999977292002739,76.82601182863164
2.727272727272727,1.7287671896391794e+22,0.0,0.9,132.2249398028939
2.8282828282828283,1.7927956040702604e+22,0.0,0.9,132.2249398028939
2.9292929292929295,1.8568240185013411e+22,0.0,0.9,132.2249398028939
3.0303030303030303,1.9208524329324214e+22,0.0,0.9,132.2249398028939
3.1313131313131315,1.9848808473635024e+22,0.0,0.9,132.2249398028939
3.2323232323232323,2.048909261794583e+22,0.0,0.9,132.2249398028939
3.3333333333333335,2.112937676225664e+22,0.0,0.9,132.2249398028939
3.4343434343434343,2.1769660906567444e+22,0.0,0.9,132.2249398028939
3.5353535353535355,2.240994505087825e+22,0.0,0.9,132.2249398028939
